,PREDICT
0,0.9338026074490259
1,0.49172678234832157
2,0.05971057615902728
3,0.13555106351868493
4,0.10545282851039507
5,0.03153267371994834
6,0.03360549926647188
7,0.4895112494469867
8,0.8210629387521637
9,0.06647090178653078
10,0.8298396109820934
11,0.0319391025469077
12,0.008456061088977035
13,0.007441111111858046
14,0.5241305915462492
15,0.019539711388501163
16,0.2646951396385087
17,0.6464460358315084
18,0.34115154608844395
19,0.9315342561408132
20,0.006371719634726936
21,0.12414482425021668
22,0.6646969418103458
23,0.5973667448334046
24,0.047355271168363286
25,0.126276389944077
26,1.45765233253725e-12
27,0.030160816511709213
28,0.00511142939888749
29,0.16704514865221054
30,0.2753514932734664
31,0.8201580694231577
32,0.18397742844592668
33,0.6869383764641033
34,0.6562543074004181
35,0.18132256911441985
36,0.16569787155984714
37,0.4843360505237495
38,0.1404992092263688
39,0.2471994031549731
40,0.018062293292339566
41,0.5741690307103081
42,0.02673224655740449
43,0.3673843621596871
44,0.34860097825718206
45,0.07411011772078839
46,0.7766975466950821
47,0.04989419387198106
48,0.4127079550405449
49,0.03583296473796779
50,0.0009890533287947852
51,0.05306466996310263
52,0.07689645115210797
53,0.017916582949113125
54,0.07584378459700322
55,0.4885397004043902
56,0.9626519154216371
57,0.1249340251807439
58,0.23777701881374053
59,0.426220312517775
60,0.011912296484356684
61,0.1047422938357209
62,0.08379777920668399
63,0.840684786113217
64,0.6209170907704422
65,0.2524991459572861
66,0.6624694582161261
67,0.0007986752756024416
68,0.034247949973501335
69,0.11112810722650265
70,0.797046656655568
71,0.10845654502126949
72,0.5639996326337412
73,0.26117916675184977
74,0.6630757400588045
75,0.09400830681238605
76,0.9143051552337044
77,0.5455367674722963
78,0.5985195517469006
79,0.6606581978043227
80,0.13782452704456374
81,0.217791069874646
82,0.464923445443223
83,0.12416545730346312
84,0.0597965723396224
85,0.0004880378330012705
86,0.6319722113134978
87,0.6337007560076167
88,0.08054378087074908
89,0.5767546757819692
90,0.07099014689079122
91,0.4777470940092885
92,0.8738772762435107
93,0.3582161495622333
94,0.08507266464452733
95,0.5011540971289123
96,0.2487700555915458
97,0.6827885636438444
98,0.8284893585596029
99,0.0256750441037155
100,0.6394681968139012
101,0.8743185781263936
102,0.08806711718387346
103,0.035873477105677336
104,0.0783077469004064
105,0.9844298148759363
106,0.0014664927723937865
107,0.04540143101154711
108,0.17448387392222242
109,0.17519462438992153
110,0.41431109682860334
111,0.0289988095864733
112,0.14828709981771
113,0.3129905909002759
114,0.21112387273123046
115,0.07886682942330242
116,0.9341803488008223
117,0.5383824261581027
118,0.8813132221982034
119,0.005784303930364498
120,0.6010710166395294
121,0.1362726389907406
122,0.1557831888492618
123,0.03701239943361513
124,0.6222338411924436
125,0.0376733869252968
126,0.34908612323284877
127,0.7778506691217795
128,0.5970120559913744
129,0.6795298353719693
130,0.5175540265862274
131,0.03801955645873423
132,0.5014435980655797
133,0.0077940978373555085
134,0.036527304912520396
135,0.1513937642462774
136,0.3345460771536843
137,0.02154478006630022
138,0.30218214575051433
139,0.004123730607531171
140,0.837006718181043
141,0.3582161495622333
142,0.8663397431244055
143,0.004323090108618679
144,0.40653445470247274
145,0.08306477412658117
146,0.030915395184365344
147,0.016760353589836456
148,0.002281936775288163
149,0.009207908713291085
150,0.7755014507224316
151,0.38417035190339277
152,0.05886811823956789
153,0.5633296668111413
154,0.6313536986836576
155,0.0013642495767647975
156,0.1738727142978274
157,0.8907097824681864
158,0.14172212996153738
159,0.08925240293873207
160,0.1925809029475004
161,0.052442863725491805
162,0.0751209502898125
163,0.010833471878134859
164,0.020798477120629103
165,0.21028755959016418
166,0.34860097825718206
167,0.6827885636438444
